time;_state_;in;indisc;inerr;innucast;inucast;out;outdisc;outerr;outnucast;outqlen;outucast
1631530800;1,0000000000e+02;1,1173262182e+05;1,9704501333e-01;0,0000000000e+00;5,5722421333e-01;1,0413503504e+02;1,5060904583e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;5,3452867067e+01
1631532600;1,0000000000e+02;3,5892714404e+05;1,9786863000e-01;0,0000000000e+00;5,5753694000e-01;2,9280803621e+02;2,5949572085e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,0647031500e+02
1631534400;1,0000000000e+02;3,3138083979e+05;1,9722585667e-01;0,0000000000e+00;5,5708540000e-01;2,8499552562e+02;3,1913398338e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,3023870718e+02
1631536200;1,0000000000e+02;3,0743862256e+05;1,9775534333e-01;0,0000000000e+00;5,5782427000e-01;2,6606111841e+02;2,4221251444e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,0969958510e+02
1631538000;1,0000000000e+02;4,9681742467e+05;1,9699236667e-01;0,0000000000e+00;5,5661467000e-01;3,7997081208e+02;2,3123047485e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;9,3707095853e+01
1631539800;1,0000000000e+02;6,6808901936e+05;1,9781166333e-01;0,0000000000e+00;5,5782380667e-01;5,0293735404e+02;3,9147579515e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,6337731397e+02
1631541600;1,0000000000e+02;1,5107201754e+05;1,9727122333e-01;0,0000000000e+00;5,5776200000e-01;1,4304136618e+02;1,7955168055e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;6,9572589727e+01
1631543400;1,0000000000e+02;3,9471156913e+05;1,9769990333e-01;0,0000000000e+00;5,5669367333e-01;3,2495340896e+02;3,3315329049e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,4044244189e+02
1631545200;1,0000000000e+02;6,2723015612e+04;1,9742536667e-01;0,0000000000e+00;5,5777157000e-01;7,4019101437e+01;1,8500084745e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;5,3169325670e+01
1631547000;1,0000000000e+02;2,5645904927e+04;1,9731252333e-01;0,0000000000e+00;5,5743294667e-01;3,6416615977e+01;1,1428230111e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,7778125300e+01
1631548800;1,0000000000e+02;1,7848645995e+04;1,9774499000e-01;0,0000000000e+00;5,5722283333e-01;2,8897212947e+01;1,0155390823e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,2314225573e+01
1631550600;1,0000000000e+02;1,6914401362e+04;1,9724087000e-01;0,0000000000e+00;5,5726580333e-01;2,9459898620e+01;1,0973974957e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,3711048690e+01
1631552400;1,0000000000e+02;1,3464792798e+04;1,9723537333e-01;0,0000000000e+00;5,5665641333e-01;2,5300325860e+01;9,6868468380e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,0063845463e+01
1631554200;1,0000000000e+02;1,1827589267e+04;1,9774777667e-01;0,0000000000e+00;5,5780141000e-01;2,3413828780e+01;9,3164261312e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8488599457e+01
1631556000;1,0000000000e+02;1,1982324203e+04;1,9776050667e-01;0,0000000000e+00;5,5772609667e-01;2,3737928313e+01;9,3836558119e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8843875297e+01
1631557800;1,0000000000e+02;1,1774106686e+04;1,9724290333e-01;0,0000000000e+00;5,5723174000e-01;2,3214585600e+01;9,3051799477e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8391817483e+01
1631559600;1,0000000000e+02;1,2401858984e+04;1,9704973667e-01;0,0000000000e+00;5,5734207333e-01;2,5762103443e+01;9,6133191397e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,0319787530e+01
1631561400;1,0000000000e+02;1,3067697092e+04;1,9780059333e-01;0,0000000000e+00;5,5673657667e-01;2,9248291763e+01;1,0386649242e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,3152111493e+01
1631563200;1,0000000000e+02;1,1713529234e+04;1,9716253667e-01;0,0000000000e+00;5,5830382000e-01;2,3382075010e+01;9,2564929513e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8466749627e+01
1631565000;1,0000000000e+02;1,1762736406e+04;1,9724984333e-01;0,0000000000e+00;5,5718252667e-01;2,3454971390e+01;9,4462427749e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8609669497e+01
